match_no,date_et,time_et,stage,group,home_team,away_team,home_label,away_label,known_teams,venue_city,neutral,competition,source_url
56,2026-06-25,16:00,Group Stage,E,Curacao,Ivory Coast,Curacao,Ivory Coast,True,Philadelphia,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
57,2026-06-25,19:00,Group Stage,F,Japan,Sweden,Japan,Sweden,True,"Arlington, Texas",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
58,2026-06-25,19:00,Group Stage,F,Tunisia,Netherlands,Tunisia,Netherlands,True,"Kansas City, Missouri",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
59,2026-06-25,22:00,Group Stage,D,Turkey,United States,Turkey,United States,True,"Inglewood, California",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
60,2026-06-25,22:00,Group Stage,D,Paraguay,Australia,Paraguay,Australia,True,"Santa Clara, California",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
61,2026-06-26,15:00,Group Stage,I,Norway,France,Norway,France,True,"Foxborough, Massachusetts",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
62,2026-06-26,15:00,Group Stage,I,Senegal,Iraq,Senegal,Iraq,True,Toronto,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
63,2026-06-26,20:00,Group Stage,H,Cape Verde,Saudi Arabia,Cape Verde,Saudi Arabia,True,Houston,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
64,2026-06-26,20:00,Group Stage,H,Uruguay,Spain,Uruguay,Spain,True,"Zapopan, Mexico",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
65,2026-06-26,23:00,Group Stage,G,Egypt,Iran,Egypt,Iran,True,Seattle,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
66,2026-06-26,23:00,Group Stage,G,New Zealand,Belgium,New Zealand,Belgium,True,"Vancouver, Canada",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
67,2026-06-27,17:00,Group Stage,L,Panama,England,Panama,England,True,"East Rutherford, New Jersey",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
68,2026-06-27,17:00,Group Stage,L,Croatia,Ghana,Croatia,Ghana,True,Philadelphia,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
69,2026-06-27,19:30,Group Stage,K,Colombia,Portugal,Colombia,Portugal,True,"Miami Gardens, Florida",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
70,2026-06-27,19:30,Group Stage,K,DR Congo,Uzbekistan,DR Congo,Uzbekistan,True,Atlanta,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
71,2026-06-27,22:00,Group Stage,J,Algeria,Austria,Algeria,Austria,True,"Kansas City, Missouri",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
72,2026-06-27,22:00,Group Stage,J,Jordan,Argentina,Jordan,Argentina,True,"Arlington, Texas",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
